id sire dam
446 446 339 358
447 447 339 358
448 448 339 358
449 449 339 358
450 450 339 358
451 451 393 342
452 452 393 342
453 453 393 342
454 454 393 342
455 455 393 342
456 456 393 342
457 457 393 342
458 458 393 342
459 459 393 342
460 460 393 342
461 461 353 394
462 462 353 394
463 463 353 394
464 464 353 394
465 465 353 394
466 466 353 394
467 467 353 394
468 468 353 394
469 469 353 394
470 470 353 394
471 471 381 366
472 472 381 366
473 473 381 366
474 474 381 366
475 475 381 366
476 476 381 366
477 477 381 366
478 478 381 366
479 479 381 366
480 480 381 366
481 481 373 312
482 482 373 312
483 483 373 312
484 484 373 312
485 485 373 312
486 486 373 312
487 487 373 312
488 488 373 312
489 489 373 312
490 490 373 312
491 491 347 352
492 492 347 352
493 493 347 352
494 494 347 352
495 495 347 352
496 496 347 352
497 497 347 352
498 498 347 352
499 499 347 352
500 500 347 352
